City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,mthatha,-31.5889,28.7844,15.31,94,100,2.57,ZA,1701786610
325,tarija,-21.5355,-64.7296,21.95,64,40,0.0,BO,1701786612
326,muranovo,56.1833,37.9,-10.25,100,80,1.53,RU,1701786612
327,huarmey,-10.0681,-78.1522,22.2,76,78,4.73,PE,1701786612
328,ust'-barguzin,53.45,108.9833,-15.01,87,100,4.81,RU,1701786613
329,horta,38.5333,-28.6333,19.45,88,40,10.29,PT,1701786613
330,quellon,-43.1167,-73.6167,14.55,75,67,3.41,CL,1701786613
331,saudarkrokur,65.7461,-19.6394,-3.64,72,31,2.73,IS,1701786614
332,imbituba,-28.24,-48.6703,23.81,94,100,3.1,BR,1701786615
333,san antonio de pale,-1.4014,5.6325,26.24,82,87,5.53,GQ,1701786615
334,karratha,-20.7377,116.8463,28.01,65,4,5.95,AU,1701786436
335,zalingei,12.9096,23.4741,31.24,11,85,4.06,SD,1701786615
336,kelo,9.3086,15.8066,35.89,16,13,2.38,TD,1701786616
337,balaipungut,1.05,101.2833,24.46,97,100,1.53,ID,1701786616
338,rexburg,43.826,-111.7897,2.52,89,100,2.06,US,1701786616
339,cockburn town,21.4612,-71.1419,27.3,77,15,6.72,TC,1701786616
340,harper,4.375,-7.7169,28.69,71,30,2.91,LR,1701786617
341,trairi,-3.2778,-39.2689,31.45,58,54,6.3,BR,1701786380
342,susuman,62.7833,148.1667,-46.12,100,100,0.89,RU,1701786617
343,price,39.5994,-110.8107,-2.41,80,0,2.57,US,1701786617
344,pazaryeri,39.994,29.9042,8.29,86,57,1.28,TR,1701786617
345,kharan,28.5833,65.4167,15.9,21,10,1.15,PK,1701786618
346,stornoway,58.2093,-6.3865,2.98,91,20,0.51,GB,1701786618
347,chandur,19.7333,79.1833,19.54,89,100,3.44,IN,1701786618
348,dieppe,49.75,1.1667,7.33,93,100,0.45,FR,1701786618
349,hanceville,34.0607,-86.7675,7.34,71,0,2.32,US,1701786619
350,ta`u,-14.2336,-169.5144,27.15,80,97,9.51,AS,1701786619
351,yessentuki,44.0444,42.8606,4.86,90,100,1.34,RU,1701786620
352,visakhapatnam,17.69,83.2093,23.94,100,100,5.14,IN,1701786620
353,puerto aysen,-45.4,-72.7,13.51,95,100,1.77,CL,1701786621
354,potsdam,52.3989,13.0657,0.56,82,100,4.17,DE,1701786621
355,naxos,37.1056,25.3764,18.5,76,78,4.02,GR,1701786621
356,severo-yeniseyskiy,60.3725,93.0408,-38.57,100,31,1.34,RU,1701786354
357,utrik,11.2278,169.8474,27.48,79,16,9.96,MH,1701786622
358,roswell,34.0232,-84.3616,8.05,85,0,3.09,US,1701786622
359,hami,42.8,93.45,0.51,48,2,2.33,CN,1701786623
360,kurchatov,51.6601,35.6521,-4.77,99,72,1.74,RU,1701786623
